year,drought,earthquake,extreme_temperature,flood,landslide,storm,total
1960-1963,0,29,0,11,4,98,142
1964-1968,15,56,2,127,15,260,475
1969-1973,13,48,7,136,17,163,384
1974-1978,15,58,1,125,19,166,384
1979-1983,64,213,12,235,38,311,873
1984-1988,79,127,15,569,44,530,1364
1989-1993,68,199,27,883,62,1036,2275
1994-1998,141,246,86,1442,129,1083,3127
1999-2003,723,326,685,2686,172,1945,6537
2004-2008,373,375,979,3839,119,1871,7556
2009-2013,929,380,1279,3708,160,2163,8619
2014-2018,518,346,413,3586,203,2697,7763
